(2852170240, 1790995136)
(579347080, 1790995136)
(178260640, 1790995136)
(2183692840, 1790995136)
(3233857728, 1790995136)
(1212696648, 1790995136)
(213912768, 1790995136)
(2219344968, 1790995136)
(1616928864, 1790995136)
(1111638594, 1790995136)
(1711302144, 1790995136)
(1143096354, 1790995136)
(817901760, 1790995136)
(2422247520, 1790995136)
(1509972480, 1790995136)
(1342853130, 1790995136)
(806105100, 1790995136)
(405018660, 1790995136)
(2516620800, 1790995136)
(344069250, 1790995136)
