Cl.2256=0,1,2,3,4,6,7,5,8,12,16,20,32,39,57,62,9,17,21,13,40,51,53,46,50,47,52,41,63,33,56,38,10,45,27,60,43,15,59,31,58,24,49,19,55,22,61,28,29,35,18,44,25,36,23,42,30,37,11,48,54,14,34,26
Cl.2257=0,1,2,3,4,6,7,5,8,12,16,20,32,39,57,62,9,17,21,13,41,50,52,47,40,53,46,51,36,58,35,61,10,25,37,54,33,49,15,31,45,59,24,14,42,63,30,11,29,23,44,38,18,27,34,43,19,28,56,55,48,60,26,22
Cl.2258=0,1,2,3,4,6,7,5,8,12,16,20,32,39,57,62,9,17,21,13,41,50,52,47,55,42,49,44,59,37,60,34,10,25,38,53,35,51,14,30,61,43,11,29,56,45,15,26,22,28,36,46,27,18,40,33,23,24,63,48,54,58,31,19
Cl.2259=0,1,2,3,4,6,8,10,5,11,16,30,32,45,59,54,7,20,41,58,47,63,15,31,48,44,9,21,57,38,14,17,12,25,24,13,34,52,56,46,40,50,43,49,39,62,42,51,35,36,27,28,33,37,23,19,53,61,26,18,22,29,55,60
Cl.2260=0,1,2,3,4,6,8,10,5,11,16,30,32,45,59,54,7,24,40,55,48,44,17,13,9,25,49,33,31,12,41,58,14,27,26,15,57,47,35,53,61,39,62,36,43,50,38,63,46,37,23,28,42,34,29,21,22,18,56,60,51,52,19,20
Cl.2261=0,1,2,3,4,6,8,10,5,11,16,30,32,45,59,54,7,34,21,48,13,43,17,55,56,18,61,23,19,58,24,49,9,52,20,41,31,33,12,50,46,28,36,22,25,40,29,44,62,39,51,42,38,60,37,63,35,53,57,47,26,15,14,27
Cl.2262=0,1,2,3,4,6,8,10,5,12,16,25,32,42,59,49,7,20,14,29,52,36,51,35,53,46,43,48,39,63,55,47,9,58,44,31,22,38,61,13,19,40,33,26,45,21,17,41,54,23,24,57,30,60,62,28,27,50,34,11,18,56,37,15
Cl.2263=0,1,2,3,4,8,16,28,5,12,32,41,10,14,57,61,6,62,23,47,33,20,38,19,43,27,29,45,7,58,39,26,9,22,55,40,11,25,35,49,44,59,53,34,37,63,42,48,21,51,56,30,52,31,15,36,24,54,18,60,50,17,46,13
Cl.2256_inv=0,1,2,3,4,7,5,6,8,16,32,58,9,19,61,37,10,17,50,43,11,18,45,54,41,52,63,34,47,48,56,39,12,29,62,49,53,57,31,13,20,27,55,36,51,33,23,25,59,42,24,21,26,22,60,44,30,14,40,38,35,46,15,28
Cl.2257_inv=0,1,2,3,4,7,5,6,8,16,32,47,9,19,43,38,10,17,52,56,11,18,63,49,42,33,62,53,57,48,46,39,12,36,54,30,28,34,51,13,24,20,44,55,50,40,26,23,60,37,21,27,22,25,35,59,58,14,29,41,61,31,15,45
Cl.2258_inv=0,1,2,3,4,7,5,6,8,16,32,42,9,19,38,46,10,17,53,63,11,18,48,56,57,33,47,52,49,43,39,62,12,55,31,36,50,29,34,13,54,20,25,41,27,45,51,23,59,26,21,37,22,35,60,24,44,14,61,28,30,40,15,58
Cl.2259_inv=0,1,2,3,4,8,5,16,6,26,7,9,32,35,30,22,10,31,59,55,17,27,60,54,34,33,58,50,51,61,11,23,12,52,36,48,49,53,29,44,40,18,46,42,25,13,39,20,24,43,41,47,37,56,15,62,38,28,19,14,63,57,45,21
Cl.2260_inv=0,1,2,3,4,8,5,16,6,24,7,9,29,23,32,35,10,22,57,62,63,55,56,50,17,25,34,33,51,54,11,28,12,27,53,38,43,49,46,41,18,30,52,44,21,13,48,37,20,26,45,60,61,39,15,19,58,36,31,14,59,40,42,47
Cl.2261_inv=0,1,2,3,4,8,5,16,6,32,7,9,38,20,62,61,10,22,25,28,34,18,43,27,30,44,60,63,41,46,11,36,12,37,17,56,42,54,52,49,45,35,51,21,47,13,40,59,19,31,39,50,33,57,15,23,24,58,29,14,53,26,48,55
Cl.2262_inv=0,1,2,3,4,8,5,16,6,32,7,59,9,39,18,63,10,46,60,40,17,45,36,49,50,11,43,56,55,19,52,35,12,42,58,23,21,62,37,28,41,47,13,26,34,44,25,31,27,15,57,22,20,24,48,30,61,51,33,14,53,38,54,29
Cl.2263_inv=0,1,2,3,4,8,16,28,5,32,12,36,9,63,13,54,6,61,58,23,21,48,33,18,56,37,31,25,7,26,51,53,10,20,43,38,55,44,22,30,35,11,46,24,40,27,62,19,47,39,60,49,52,42,57,34,50,14,29,41,59,15,17,45
APN_S6=0,54,48,13,15,18,53,35,25,63,45,52,3,20,41,33,59,36,2,34,10,8,57,37,60,19,42,14,50,26,58,24,39,27,21,17,16,29,1,62,47,40,51,56,7,43,44,38,31,11,4,28,61,46,5,49,9,6,23,32,30,12,55,22
